,X1,UnitCode,Year,Month,ParkName,RecreationVisits,Smoke,stdsmoke,Season,CatColS,CatColM
206,2051,BISC,1994,11,Biscayne NP,1336,1.35E-10,-0.418540286,Fall,BISCFall,BISC11
207,2061,BISC,1995,9,Biscayne NP,47644,9.43E-10,-0.185313015,Fall,BISCFall,BISC09
208,2071,BISC,1996,7,Biscayne NP,46604,4.71E-09,0.901886712,Summer,BISCSummer,BISC07
209,2081,BISC,1997,5,Biscayne NP,42226,1.06E-09,-0.152437109,Spring,BISCSpring,BISC05
210,2091,BISC,1998,3,Biscayne NP,19583,6.06E-10,-0.282637621,Spring,BISCSpring,BISC03
211,2101,BISC,1999,1,Biscayne NP,26888,2.51E-10,-0.384995721,Winter,BISCWinter,BISC01
212,2111,BISC,1999,11,Biscayne NP,14590,2.58E-10,-0.38292086,Fall,BISCFall,BISC11
213,2121,BISC,2000,9,Biscayne NP,32001,2.86E-09,0.367540905,Fall,BISCFall,BISC09
214,2131,BISC,2001,7,Biscayne NP,55535,4.64E-09,0.881599972,Summer,BISCSummer,BISC07
215,2141,BISC,2002,5,Biscayne NP,44350,2.06E-09,0.136046913,Spring,BISCSpring,BISC05
216,2151,BISC,2003,3,Biscayne NP,44155,1.07E-09,-0.147934901,Spring,BISCSpring,BISC03
217,2161,BISC,2004,1,Biscayne NP,46072,3.24E-10,-0.364048143,Winter,BISCWinter,BISC01
218,2171,BISC,2004,11,Biscayne NP,24255,2.84E-10,-0.375333029,Fall,BISCFall,BISC11
219,2181,BISC,2005,9,Biscayne NP,26186,7.96E-10,-0.227734506,Fall,BISCFall,BISC09
220,2191,BISC,2006,7,Biscayne NP,83212,7.99E-09,1.847315358,Summer,BISCSummer,BISC07
221,2201,BISC,2007,5,Biscayne NP,40736,2.05E-09,0.133988096,Spring,BISCSpring,BISC05
222,2211,BISC,2008,3,Biscayne NP,41725,1.32E-09,-0.076804591,Spring,BISCSpring,BISC03
223,2221,BISC,2009,1,Biscayne NP,34397,3.62E-10,-0.352927733,Winter,BISCWinter,BISC01
224,2231,BISC,2009,11,Biscayne NP,26938,2.75E-10,-0.378053509,Fall,BISCFall,BISC11
225,2241,BISC,2010,9,Biscayne NP,32666,7.48E-10,-0.241572889,Fall,BISCFall,BISC09
226,2251,BISC,2011,7,Biscayne NP,71509,4.32E-09,0.789280071,Summer,BISCSummer,BISC07
227,2261,BISC,2012,5,Biscayne NP,53922,3.09E-09,0.43563438,Spring,BISCSpring,BISC05
228,2271,BISC,2013,3,Biscayne NP,38524,1.42E-09,-0.047454448,Spring,BISCSpring,BISC03
229,2281,BISC,2014,1,Biscayne NP,30437,2.34E-10,-0.389786425,Winter,BISCWinter,BISC01
230,2291,BISC,2014,11,Biscayne NP,23545,3.24E-10,-0.364012539,Fall,BISCFall,BISC11
231,2301,BISC,2015,9,Biscayne NP,40551,1.14E-09,-0.12856245,Fall,BISCFall,BISC09
232,2311,BISC,2016,7,Biscayne NP,70830,3.48E-09,0.545575369,Summer,BISCSummer,BISC07
233,2321,BISC,2017,5,Biscayne NP,55595,7.03E-09,1.570915199,Spring,BISCSpring,BISC05
234,2331,BISC,2018,3,Biscayne NP,49114,1.34E-09,-0.069698632,Spring,BISCSpring,BISC03
235,2341,BLCA,1980,1,Black Canyon of the Gunnison NP,2190,5.67E-10,-0.293851379,Winter,BLCAWinter,BLCA01
236,2351,BLCA,1980,11,Black Canyon of the Gunnison NP,6596,6.56E-10,-0.268166788,Fall,BLCAFall,BLCA11
237,2361,BLCA,1981,9,Black Canyon of the Gunnison NP,42500,9.64E-10,-0.179347289,Fall,BLCAFall,BLCA09
238,2371,BLCA,1982,7,Black Canyon of the Gunnison NP,46320,1.48E-09,-0.029308675,Summer,BLCASummer,BLCA07
239,2381,BLCA,1983,5,Black Canyon of the Gunnison NP,21893,1.62E-09,0.011468163,Spring,BLCASpring,BLCA05
240,2391,BLCA,1984,3,Black Canyon of the Gunnison NP,6553,9.97E-10,-0.169749045,Spring,BLCASpring,BLCA03
241,2401,BLCA,1985,1,Black Canyon of the Gunnison NP,2948,3.33E-10,-0.361376555,Winter,BLCAWinter,BLCA01
242,2411,BLCA,1985,11,Black Canyon of the Gunnison NP,3788,1.05E-09,-0.153775831,Fall,BLCAFall,BLCA11
243,2421,BLCA,1986,9,Black Canyon of the Gunnison NP,32741,1.51E-09,-0.022557909,Fall,BLCAFall,BLCA09
244,2431,BLCA,1987,7,Black Canyon of the Gunnison NP,65920,1.74E-09,0.045486,Summer,BLCASummer,BLCA07
245,2441,BLCA,1988,5,Black Canyon of the Gunnison NP,22879,2.50E-09,0.263564968,Spring,BLCASpring,BLCA05
246,2451,BLCA,1989,3,Black Canyon of the Gunnison NP,8651,1.56E-09,-0.006801412,Spring,BLCASpring,BLCA03
247,2461,BLCA,1990,1,Black Canyon of the Gunnison NP,2696,5.03E-10,-0.31224937,Winter,BLCAWinter,BLCA01
248,2471,BLCA,1990,11,Black Canyon of the Gunnison NP,3938,9.63E-10,-0.179418097,Fall,BLCAFall,BLCA11
