"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke"
"343","ACAD","2008","07","Acadia NP",470295,1.6927086399221e-09
"344","ACAD","2008","08","Acadia NP",514443,4.28233920546361e-10
"345","ACAD","2008","09","Acadia NP",319582,6.19268192281197e-10
"346","ACAD","2008","10","Acadia NP",246533,4.94561835928664e-10
"347","ACAD","2008","11","Acadia NP",32759,4.48744486014618e-10
"348","ACAD","2008","12","Acadia NP",9862,7.82854947534162e-10
"349","ACAD","2009","01","Acadia NP",9366,6.02635497060078e-10
"350","ACAD","2009","02","Acadia NP",9751,7.03248959066372e-10
"351","ACAD","2009","03","Acadia NP",19258,1.22651599987478e-09
"352","ACAD","2009","04","Acadia NP",59277,1.11471765151805e-09
"353","ACAD","2009","05","Acadia NP",129885,1.49577794594791e-09
"354","ACAD","2009","06","Acadia NP",244780,6.61545984659284e-10
"355","ACAD","2009","07","Acadia NP",457622,9.35575616978213e-10
"356","ACAD","2009","08","Acadia NP",586446,1.55992530004312e-09
"357","ACAD","2009","09","Acadia NP",399789,4.46481657201403e-10
"358","ACAD","2009","10","Acadia NP",258007,3.52889162336112e-10
"359","ACAD","2009","11","Acadia NP",44042,3.95619481619036e-10
"360","ACAD","2009","12","Acadia NP",9475,3.72400610348933e-10
"361","ACAD","2010","01","Acadia NP",10510,4.79641992789936e-10
"362","ACAD","2010","02","Acadia NP",13398,2.76465822457439e-10
"363","ACAD","2010","03","Acadia NP",26080,1.06038156033605e-09
"364","ACAD","2010","04","Acadia NP",57992,1.28497190665655e-09
"365","ACAD","2010","05","Acadia NP",169898,1.17175191771679e-09
"366","ACAD","2010","06","Acadia NP",286635,9.30343690974667e-10
"367","ACAD","2010","07","Acadia NP",545382,6.66014576822249e-10
"368","ACAD","2010","08","Acadia NP",627918,3.45520417832645e-10
"369","ACAD","2010","09","Acadia NP",431001,6.7834310391035e-10
"370","ACAD","2010","10","Acadia NP",289114,2.7286131687454e-10
"371","ACAD","2010","11","Acadia NP",36736,3.39486189160354e-10
"372","ACAD","2010","12","Acadia NP",9544,2.90884955012061e-10
"373","ACAD","2011","01","Acadia NP",10428,2.83185752625315e-10
"374","ACAD","2011","02","Acadia NP",9533,5.51019008199205e-10
"375","ACAD","2011","03","Acadia NP",19510,7.21657400504228e-10
"376","ACAD","2011","04","Acadia NP",58307,1.26866495087086e-09
"377","ACAD","2011","05","Acadia NP",132720,8.41573977172771e-10
"378","ACAD","2011","06","Acadia NP",297222,6.85963230662168e-10
"379","ACAD","2011","07","Acadia NP",559892,8.09605160689841e-10
"380","ACAD","2011","08","Acadia NP",583153,6.59406140801622e-10
"381","ACAD","2011","09","Acadia NP",387868,5.48761702745537e-10
"382","ACAD","2011","10","Acadia NP",270477,4.94982999033056e-10
"383","ACAD","2011","11","Acadia NP",34192,5.7374294204493e-10
"384","ACAD","2011","12","Acadia NP",11343,5.84569392891865e-10
"385","ACAD","2012","01","Acadia NP",11930,4.46775366702568e-10
"386","ACAD","2012","02","Acadia NP",12388,5.41111988550114e-10
"387","ACAD","2012","03","Acadia NP",22684,1.07683462147179e-09
"388","ACAD","2012","04","Acadia NP",59471,1.33388922129996e-09
"389","ACAD","2012","05","Acadia NP",157406,1.07283537609248e-09
"390","ACAD","2012","06","Acadia NP",309198,5.68491642649605e-10
"391","ACAD","2012","07","Acadia NP",539234,5.18109111169451e-10
"392","ACAD","2012","08","Acadia NP",574307,8.61403282037543e-10
"393","ACAD","2012","09","Acadia NP",391810,2.68660427238387e-10
"394","ACAD","2012","10","Acadia NP",302932,3.3621350148394e-10
"395","ACAD","2012","11","Acadia NP",38385,5.45974487842216e-10
"396","ACAD","2012","12","Acadia NP",11307,4.36216812671475e-10
"397","ACAD","2013","01","Acadia NP",11249,5.22601961705504e-10
"398","ACAD","2013","02","Acadia NP",9869,6.78433365042252e-10
"399","ACAD","2013","03","Acadia NP",20631,5.99390259647947e-10
"400","ACAD","2013","04","Acadia NP",47090,1.32930366714135e-09
"401","ACAD","2013","05","Acadia NP",133653,9.27188326116379e-10
"402","ACAD","2013","06","Acadia NP",315791,1.29604482701495e-09
"403","ACAD","2013","07","Acadia NP",555308,6.48018749771495e-10
"404","ACAD","2013","08","Acadia NP",617306,4.31920832433264e-10
"405","ACAD","2013","09","Acadia NP",400400,2.75662048743186e-10
"406","ACAD","2013","10","Acadia NP",94904,3.21023180260838e-10
